Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Jebel Ali,"2,419",743,"10,777","3,864",994,"1,413",-,"1,542","1,035","2,603","2,151","3,309","1,750","5,935","4,492","4,417","4,660","4,825",593,"1,643"
Kaohsiung,"5,045",286,867,"1,192",327,434,"1,324",-,327,"9,854","1,354",955,"1,816","1,434","3,423","1,508","1,124",688,"1,550",836
Laem Chabang,494,246,"1,517",814,470,"1,450","2,431",339,-,"1,369",690,938,452,"1,248","2,460","2,469","3,637",578,299,489
Los Angeles,"5,530","1,304","1,454","1,145",434,584,"2,241","2,575",456,-,"4,551",954,"4,105","1,775","10,429","5,850","1,779",780,"1,661","2,407"
New Jersey,"1,510","7,458","3,142","4,842",278,373,"1,990","1,061",278,"4,691",-,"2,847","1,256","7,285","4,637","3,976","1,471","1,952",502,"1,157"
Piraeus,"1,155","1,468","3,185","2,000",309,452,"4,730",745,344,"1,011","3,211",-,950,"4,911","3,766","3,583","1,764","4,221",424,978
Qingdao,"2,276",462,"2,031","1,519",385,526,"2,804","2,260",402,"12,070","2,123","1,697",-,"2,182","5,226","1,651","2,552","1,141",916,100
Rotterdam,"2,040","2,919","5,874","3,608",607,751,"8,469","1,340",574,"1,772","7,749","2,991","1,733",-,"6,615","6,314","3,156","7,686",819,"1,827"
Shanghai,"5,746","1,388","5,283","5,502","1,473","1,966","6,288","3,933","1,509","14,360","7,219","4,827","4,754","8,295",-,"4,303","7,456","2,934","3,438","1,960"
Shenzhen,"6,403","1,263","5,670","6,285","1,768","2,253","9,285","4,238","1,581","6,798","7,461","5,022","1,527","8,717","3,530",-,"8,132","2,889","1,237",461
Singapore,"3,054","1,113","5,888","3,391","1,821","3,863","9,297","2,082","1,783","6,582","3,044","2,772","2,900","5,175","9,670","9,059",-,"2,523",966,"2,940"
Tanger Med,"1,074","2,166","3,175","2,984",420,510,"4,609",709,398,817,"2,162","2,506",895,"4,314","3,375","2,870","2,103",-,393,853
Tianjin,"1,604",383,"1,552","1,484",252,361,"2,323","1,066",275,"4,285","2,015","1,195","1,941","2,188","4,679","1,243","2,119",758,-,67
Xiamen,"3,899",540,"2,469","2,502",473,644,"4,200","2,600",514,"3,578","2,789","2,097",914,"3,203","2,164","9,043","3,432","1,161",68,-
>>>>>>> parent of 3e45403 (resultado de todos los dias, los primeros 20 periodos y los ultimos dias del 51-72, existe una mejorar, en el intermedio de estos incrementan los tiempo, hay que atacar esa hora pico)
